vib_rms,power_w,temp_c,rpm
0.101523586,252.49805,32.090046,1800.4131
0.09481579,251.38042,31.979668,1795.5387
0.10378368,253.9423,32.34763,1800.4258
0.10474996,246.91942,32.24571,1795.4502
0.090307675,249.4894,30.809694,1804.7927
0.09356766,249.1001,32.223125,1810.9679
0.100733474,246.08281,31.604643,1802.0037
0.09852877,252.15585,31.438349,1797.5394
0.10004169,249.49944,31.932655,1789.9558
0.09587618,251.52452,32.17344,1793.364
0.104554094,254.76982,31.353762,1806.3325
0.10406177,249.34882,32.292892,1796.0077
0.100518666,249.21803,32.3174,1798.6525
0.10584042,250.30269,32.031864,1802.7683
0.10255746,252.04488,31.667028,1806.0875
0.09593915,248.94199,31.623333,1799.3713
0.10209506,248.81851,32.42646,1798.5624
0.09547258,252.19984,31.412605,1800.4788
0.104674935,250.84778,32.44389,1797.693
0.10004874,246.00606,31.953026,1797.9197
0.09938975,247.64977,31.981777,1801.8738
0.09692509,253.10805,31.337881,1800.9786
0.10645812,250.91446,31.963434,1808.7753
0.09958844,248.59123,32.268562,1802.0155
0.09823512,249.77983,31.489569,1804.876
0.09863176,250.15215,32.22459,1795.9976
0.10306963,251.60216,32.06175,1802.3947
0.10225097,247.41919,31.769646,1797.4135
0.10250307,248.45885,32.37002,1801.8984
0.10260916,250.69167,31.148254,1803.082
0.111178935,249.95111,32.168835,1800.5387
0.09845427,251.29953,32.67894,1809.9799
0.097940765,247.70181,32.60815,1806.0737
0.09644874,250.88011,32.1891,1805.082
0.10361313,252.35403,31.91351,1803.4415
0.106193714,251.14952,31.780865,1807.4491
0.099994734,250.45914,31.91502,1794.659
0.096379295,249.99416,32.25472,1805.8994
0.09647328,248.52124,31.715302,1796.4646
0.103864245,250.05197,32.342175,1798.1835
0.104343146,252.72038,32.893475,1802.6976
0.10335823,249.96794,32.01646,1805.3962
0.09733049,248.4314,31.50446,1795.8604
0.10183442,249.23154,31.505323,1798.4358
0.101272605,250.62274,32.35485,1800.8873
0.101798184,249.47903,32.02133,1799.7631
0.10507744,251.20168,32.396965,1803.9359
0.10185382,251.28177,31.833784,1814.2748
0.104145944,252.01906,32.38049,1802.2196
0.1011048,253.09323,31.985926,1797.6128
0.10222803,252.24283,31.757248,1795.3788
0.10395439,248.38765,31.890854,1799.275
0.093527675,248.45407,31.573435,1796.8264
0.099230595,250.11461,32.849003,1802.4689
0.098492585,249.3688,32.01571,1802.418
0.09766554,247.99951,32.313072,1798.7684
0.099499695,249.39778,31.841522,1808.5721
0.10836558,249.33714,31.636501,1797.7018
0.096577175,248.94748,31.964724,1800.1771
0.10576317,249.6646,32.499756,1803.2228
0.09252287,252.65808,31.851988,1804.2456
0.09927822,250.70467,31.713072,1805.799
0.10178183,255.2548,32.124474,1802.4138
0.10391459,250.65721,32.262897,1804.9147
0.10455501,249.74106,32.72143,1798.0619
0.104981005,250.33446,32.206795,1804.4059
0.09928603,250.84418,32.323895,1804.3636
0.09873326,251.2067,32.355007,1806.8075
0.10535026,254.4946,31.607094,1794.0935
0.10011921,248.65553,31.68397,1797.1497
0.094712645,252.06926,31.636745,1804.0822
0.09543997,250.77167,31.538448,1790.1954
0.09652446,247.21896,32.39049,1802.7802
0.10362283,251.90755,32.189327,1805.0625
0.10186445,252.90639,32.10611,1798.5289
0.10462003,248.66177,31.038225,1799.1249
0.09904662,250.36325,32.898502,1796.5603
0.10199084,246.9354,31.719604,1798.7819
0.10434134,247.87347,32.89904,1798.909
0.0996819,252.49213,31.499619,1798.159
0.10352773,249.46822,31.755356,1797.9509
0.09794944,248.18843,31.200176,1799.8289
0.099459,250.86993,32.227165,1799.7916
0.09938077,249.37117,31.642815,1808.4318
0.09532543,249.47934,31.655117,1799.3696
0.103754655,251.9046,31.536312,1802.3341
0.09898793,248.10747,32.39726,1798.6611
